code,Category,Sub Category,Order,Question,Answer Type,Options,hint text,Influence by question,Expected Answer
1,Health,Moratlity,,What are the cause- specific mortality rates?,Text,,,,
2,Health,Moratlity,,What is the main cause of death?,Multiselection,"phyisical injury, drowning, malnutrition, violence, poor hygiene, diseases",,,
3,Health,Moratlity,,Which age group is most affected?,Multiselection,,,,
4,Health,Moratlity,,Is there a designated burial area? How are they happening?,Yes or No,,,,
5,Health,Nutrition,,Do you have staff trained/specialized on nutrition? ,Yes or No,,,,
6,Health,Nutrition,,Where do you refer to severe cases of malnutrition?,Multiselection,"hospital, local medical center, local doctor",,,
7,Health,Nutrition,,Is there any education given to mothers on healthy nutrition?,Yes or No,,,,
8,Health,Nutrition,,Are there any populations/groups with higher rates of malnutrition than others?,Yes or No,,,,
9,Health,Nutrition,,How many cases of acute malnutrition are known at the moment?,Text,,,,
10,Health,Nutrition,, How many cases of acute malnutrition are referred to the patient feeding programme?,Text,,,,
11,Education,General,1,Are the schools operating?,Yes or No,,,,
260,Education,General,4,Are students attending school?,Yes or No,,,,
12,Education,General,8,Is there any alternative education available?,Yes or No,"informal education programs, afternoon activities",,11,No
13,Education,General,2,Is participation at school dependent on Age?,Yes or No,,,11,Yes
14,Education,General,3,Is participation at school dependent on Gender?,Yes or No,,,11,Yes
15,Education,General,6,Are the schools physically accessible?,Yes or No,,,11,No
16,Education,General,9,What do local authorities do about the education status?,Multiselection,"Establish temporary learning centers, Provide educational materials and supplies, Arrange for remote/virtual learning options, Collaborate with NGOs for education support, Lack significant intervention for education, Implement teacher training programs",,11,No
17,Education,General,10,Who are the actors working in education in the area?,Multiselection,"NGOs, community groups, religious groups, private tutors",,11,No
18,Education,General,11,What specific services is the organization providing and in what setting? ,Multiselection,"Formal education in schools,Non-formal education in community centers,Vocational training in specialized training centers,Online courses and digital learning platforms,Adult education programs in local facilities,Early childhood education in preschools or kindergartens,Literacy programs for disadvantaged groups
h,Tutoring and academic support services, Educational workshops and seminars",,,
19,Education,General,12, Who provides non-formal educational activities?,Multiselection,"Local community organizations, International NGOs, Local government agencies, Religious institutions, Informal volunteer groups, No organized non-formal education available",,30,Yes
20,Education,General,13, Are learning materials available?,Yes or No,,,,
22,Education,General,15, How is the quality of the online education?,Multiselection,"poor,average,great",,21,Yes
24,Education,General,7, What condition are the schools in?,Multiselection,"Destroyed, partialy accessible, mostly accessible, unchanged",,,
25,Education,General,5, What are the reasons why children don’t attend schools/learning centers?,Multiselection,"Unreachable, discrimination, safety rules, joining the work force",,260,No
26,Education,General,,Is there any existing support accessible for the community? ,Yes or No,,,11,No
27,Education,General,,What existing support is accessible for the community? ,Multiselection,"volunteer teachers, afternoon educational activities, informal education programmes",,26,Yes
28,Education,General,, Are there high risk populations among the students?,Yes or No,,,,
29,Education,General,,What specific services is the organization providing and in what setting? ,Multiselection," Formal education in schools,Non-formal education in community centers
,Vocational training in specialized training centers,Online courses and digital learning platforms,Adult education programs in local facilities,Early childhood education in preschools or kindergartens,Literacy programs for disadvantaged groups,Tutoring and academic support services
i) Educational workshops and seminars",,,
30,Education,General,,Does non-formal education exist?,Yes or No,,,,
21,Education,General,13, Is online learning offered? ,Yes or No,,,11,No
32,Education,General,, How is the quality of  in person education?,Multiselection,"poor,average,great",,15,Yes
23,Education,General,, Are the schools being used as shelters?,Yes or No,,,11,No
34,Education,Refugees/IDPs/Migrants,, Are there language barriers? ,Yes or No,,,194,Yes
35,Education,Refugees/IDPs/Migrants,,Is there a need for translation?,Yes or No,,,34,Yes
36,Education,Refugees/IDPs/Migrants,, How can we identify partners for dealing with language barriers? ,Multiselection,"Limited vocabulary,different languages, language complexity, regional accents and pronunciation challenges ",,34,Yes
37,Education,Refugees/IDPs/Migrants,, Are there refugees that were teachers before?,Yes or No,,,194,Yes
38,Education,Refugees/IDPs/Migrants,,How can they be supported and integrated? Are there specific training requirements? ,Multiselection," Financial support for resources and infrastructure,Technical assistance and expertise
,Strengthening community engagement and participation, Integration into existing programs and initiatives, Collaboration with relevant stakeholders and organizations,Training in specific skills and knowledge, Capacity-building workshops for community members,Customized training based on identified needs,Ongoing monitoring and evaluation",,37,Yes
39,Education,Refugees/IDPs/Migrants,, What possible collaborations exist for dealing education for Refugees/IDPs/Migrants?,Multiselection,"Partnerships with international NGOs, coordination with UN agencies, Collaboration with local schools and universities, Involvement of community-based organizations, Joint efforts with host country's education authorities, Engagement of private sector for funding and resources, Limited collaborative efforts for education provision",,,
40,Education,Refugees/IDPs/Migrants,, Are any extracurricular activities offered? (refer to MHPSS),Yes or No,,,,
41,Protection - MHPSS - CFS,vulnerable populations,,Are there any vulnerable populations in your community?,Yes or No,,,,
42,Protection - MHPSS - CFS,Community,,What are the existing support services in your community? ,Multiselection,"NGOs, CBOs, shelters, government services, education institutions, spiritual institutions, health services",,,
43,Protection - MHPSS - CFS,Community,,What do community members normally do to overcome difficulties/deal with distress? ,Multiselection,"Mutual support and solidarity. Seeking help from local leaders, Relying on traditional healing practices, Forming self-help groups, Engaging in religious or spiritual practices, Collaborating with external aid organizations, No distinct strategies observed",,,
44,Protection - MHPSS - CFS,vulnerable populations,,Do vulnerable populations have access to shelters or safe spaces?,Yes or No,,,41,Yes
45,Protection - MHPSS - CFS,vulnerable populations,,"Are you aware of any risks to vulnerable populations in your community? (e.g. CP risks, GBV)",Yes or No,,,41,Yes
47,Protection - MHPSS - CFS,Community,,Since the emergency what changes have you noticed in yourself? ,Multiselection,"different stress responses: emotional behavior, appetite, physical responses",,,
48,Protection - MHPSS - CFS,Community,,What are the existing referral pathways (local and national),Multiselection,"Referral to local health clinics or hospitals, Direct communication with local community leaders, Coordination with regional government agencies, Collaboration with national humanitarian organizations, Referral to specialized mental health services, Utilization of local community networks, No clearly established referral pathways",,,
49,Protection - MHPSS - CFS,Community,, If it’s a host community - what is the relationship between the host community and the IDP community,Multiselection,"Supportive and collaborative relationship, Strained due to resource competition, Limited interaction or isolation, Mutually beneficial cooperation, Hostility and tension, Positive exchange of cultural practices, Varies depending on the specific context",,194,Yes
50,Protection - MHPSS - CFS,Community,, Are there specific locations within the community that are unsafe?,Yes or No,,,,
51,Protection - MHPSS - CFS,Community,, What organizations are currently involved within the community?,Text,,,,
52,Protection - MHPSS - CFS,Community,, What gaps are there within the community in terms of access to information and services (including referral pathways),Multiselection,"a) Limited access to healthcare information
b) Insufficient awareness of available services
c) Lack of access to clean water and sanitation information
d) Inadequate knowledge of referral options
e) Challenges in reaching medical facilities
f) Limited access to emergency response information
g) Incomplete understanding of hygiene practices
h) No specific gaps in access identified",,,
53,WASH,Hygiene,,"What water, sanitation and hygiene practices were the population accustomed to before the crisis?",Multiselection,"Limited awareness of available services, Inadequate communication channels, Lack of knowledge about referral options,  Absence of translated materials for diverse groups, Insufficient engagement with local authorities, Challenges in accessing health-related information, No significant gaps observed",,,
224,WASH,Hygiene,,What existing practices are harmful to health?,Multiselection,"Improper waste disposal, Open defecation. Unsafe cooking methods, Limited hand hygiene. Overconsumption of sugary foods. Lack of vaccination awareness, No significantly harmful practices observed",,,
54,WASH,Hygiene,,Who practices these and why?,Text,,,,
55,WASH,Hygiene,,Is there a need for any type of hygiene items or other NFIs?,Yes or No,,,,
56,WASH,Hygiene,,Is there an understanding of the relationship between water/sanitation/shelter and disease?,Yes or No,,,,
57,WASH,Hygiene,,What are the common hygiene practices among the affected population. ? ,Multiselection,"Washing hands after defecation, disposal of children's faeces, use of soap, storage and covering of water, cooked food)",,,
58,WASH,Hygiene,,Does the community have access to facilities important for maintaining hygiene covered water containers /cooking utensils/ mosquito nets/soap/sanitary protection etc?,Yes or No,,,,
59,WASH,Hygiene,,"Are there any hygiene promotion activities? If yes, are they linked with water and sanitation and/or health services? ",Yes or No,,,,
60,WASH,Hygiene,,What would motivate the community to practice positive hygiene behavior?,Multiselection,"Access to clean water and sanitation facilities, Health education and awareness campaigns. Incentives or rewards for practicing hygiene, Local community leaders' endorsement, Availability of hygiene supplies and products, Reduction in illness and disease transmission, Cultural and religious beliefs promoting hygiene, No clear motivating factors identified",,,
61,WASH,Hygiene,,What are the advantages and disadvantages of any proposed changes in practice?,Text,,,,
62,WASH,Hygiene,, What type of outreach system would work in this context for both immediate and medium-term mobilization?,Multiselection," community hygiene volunteers, workers or promoters, school health clubs, WASH committees",,,
63,WASH,Hygiene,, What are the learning needs of hygiene promotion staff and community outreach workers?,Multiselection,"Effective communication techniques, Disease transmission and prevention knowledge, Cultural sensitivity and understanding, Behavior change communication strategies, Training in using hygiene promotion materials, Monitoring and evaluation skills, Crisis response and emergency preparedness, No specific learning needs identified",,59,Yes
225,WASH,Hygiene,, What non-food items are available?,Multiselection,"a) Shelter materials (tents, tarps, etc.) b) Clothing and blankets c) Hygiene kits (soap, toothbrushes, etc.) d) Cooking utensils and stoves e) Bedding and sleeping mats f) Basic medical supplies g) Educational materials and books h) No non-food items available",,,
64,WASH,Hygiene,,What are the most urgently needed based on preferences and needs?,Multiselection,"a) Shelter materials (tents, tarps, etc.) b) Clothing and blankets c) Hygiene kits (soap, toothbrushes, etc.) d) Cooking utensils and stoves e) Bedding and sleeping mats f) Basic medical supplies g) Educational materials and books h) None are needed",,,
65,WASH,Hygiene,," Has the place where people access markets to buy their essential hygiene items (cost, diversity, quality) changed since the crisis? Where is it now?",Yes or No,,,,
226,WASH,Hygiene,, How do households access their essential hygiene items?,Multiselection,a) Distribution points by aid agencies b) Purchasing from local markets c) Donations from community members d) Provided by local government authorities e) Shared resources within the community f) No clear method for accessing items,,,
66,WASH,Hygiene,, Who makes the decisions regarding which items to buy and prioritize?,Multiselection,a) Local community leaders or elders b) Household heads or caregivers c) Community-based organizations d) Humanitarian aid agencies e) Local government authorities f) External relief organizations g) Decisions are not clearly defined,,,
67,WASH,Hygiene,, How effective are hygiene practices in healthcare settings (particularly important in epidemic situations)?,Multiselection,"Not effective, partly effective, effective, highly effective ",,,
68,WASH,Hygiene,, What are the needs and preferences of women and girls for menstrual hygiene practices?,Multiselection,a) Access to sanitary pads or menstrual products b) Availability of clean and private sanitation facilities c) Disposal options for used menstrual materials d) Access to pain relief and hygiene education e) Cultural and religious sensitivities f) Supportive community networks for menstruation g) No specific needs or preferences identified,,,
69,WASH,Hygiene,, What are the needs and preferences of people living with incontinence?,Multiselection,"a) Access to incontinence products (adult diapers, pads, etc.) b) Availability of clean and accessible restroom facilities c) Disposal options for used incontinence products d) Access to medical advice and assistance e) Privacy and dignity in managing incontinence f) Supportive understanding from their community g) No specific needs or preferences identified",,,
70,WASH,Water supply and access,,Is water accessible to all community members?,Yes Or No,,,,
71,WASH,Water supply and access,,Is the water clean and portable?,Yes Or No,,,,
72,WASH,Water supply and access,,What is the main water source?,Multiselection,"b) Protected well or borehole
c) Unprotected well or spring
d) Rainwater harvesting
e) River or stream
f) Tanker truck delivery
g) No specific main water source identified

",,,
73,WASH,Water supply and access,,Was the drinking water affected by the situation? ,Yes or No,,,,
227,WASH,Water supply and access,, How was the drinking water affected by the situation? ?,Multiselection,a) Contaminated water sources b) Damage to water treatment facilities c) Disruption of water distribution systems d) Reduced availability of clean water e) No significant impact on drinking water ,,73,Yes
74,WASH,Water supply and access,,How much water is available per person per day?,Multiselection,a) Less than 5 liters b) 5 to 10 liters c) 10 to 20 liters d) 20 to 30 liters e) More than 30 liters f) Water availability varies widely g) Not enough data to determine,,,
75,WASH,Water supply and access,," do all groups (e.g. men, women, caste’s, etc.) have equitable access to water?",Yes Or No,,,,
76,WASH,Water supply and access,,Is the water available at the source enough for short term and longer term needs?,Yes Or No,,,,
77,WASH,Water supply and access,,Do people have enough water containers of the right size and type? ,Yes Or No,,,,
128,WASH,Sanitation Excreta disposal,, What is the slope of the terrain?,Multiselection,"steep,moderate,gentle, flat,rolling hills",,,
79,WASH,Water supply and access,,What treatment is necessary? ,Multiselection,"Filtration, Disnfecting, Boiling ",,71,No
80,WASH,Water supply and access,, Are there alternative water sources nearby? ,Yes Or No,,,,
81,WASH,Water supply and access,, Is it possible to tanker water if water sources are inadequate? ,Yes Or No,,,,
82,WASH,Water supply and access,, What are the key hygiene issues related to water supply? ,Multiselection,a) Contamination of water sources b) Insufficient water quantity for hygiene c) Lack of proper water treatment d) Inadequate sanitation facilities e) Difficulty in water access for hygiene f) Limited awareness about water hygiene g) No significant hygiene issues identified,,71,No
83,WASH,Water supply and access,, Do people have the means to use water hygienically in this situation?,Yes Or No,,,,
84,WASH,Water supply and access,, What is the daily and weekly frequency of the water supply availability?,Multiselection,a) Daily supply (24/7) b) Daily supply with interruptions c) Every other day d) Few times a week e) Once a week f) Irregular schedule g) No consistent water supply,,,
85,WASH,Water supply and access,, Are water collection points close enough (less than 500m away) to where people live?,Yes Or No,,,,
86,WASH,Water supply and access,,Are the collection points safe and secure?,Yes Or No,,,,
137,WASH,Vector-borne disease,,"If vector borne risks are high, do people have access to individual protection? ",Yes Or No,,,136,Yes
88,WASH,Water supply and access,,Does the community have problems with water palatability and acceptance associated with chlorine taste and smell?,Yes Or No,,,71,No
89,WASH,Water supply and access,," What traditional beliefs and practices relate to the collection, storage and use of water?",Multiselection,a) Rituals before drawing water b) Water conservation taboos c) Spiritual purification of water sources d) Offering water to ancestors or deities e) Seasonal water use patterns f) Folklore about water quality g) No distinct traditional beliefs or practices,,,
92,WASH,Water supply and access,,"Has this access (the cost, quality, regularity of delivery) changed?",Yes Or No,,,,
261,Protection - MHPSS - CFS,vulnerable populations,,What vulnerable populations in your community?,Multiselection,"women and girls, children, lactating mothers, unaccompanied minors, elderly, PWD, none, other:",,41,Yes
93,WASH,Water supply and access,, Are waterpoints and laundry and bathing areas well drained?,Yes Or No,,,,
94,WASH,Water supply and access,, Are soil conditions suitable for on-site or off-site management of problem water from water points and laundry and bathing areas? ,Yes Or No,,,,
95,WASH,Water supply and access,,Has a soil percolation test been carried out?,Yes Or No,,,,
96,WASH,Water supply and access,, What is the usual source of water for livestock?,Multiselection,"a) Natural water bodies (rivers, ponds, lakes) b) Wells or boreholes c) Community water supply systems d) Rainwater harvesting e) Irrigation channels f) No specific water source for livestock",,,
97,WASH,Water supply and access,," Will there be any environmental effects due to possible water supply intervention, abstraction and use of water sources?",Yes Or No,,,,
98,WASH,Water supply and access,," Is there a risk of conflict if the sources are utilised for new populations? If so, what other users are currently using the water sources for? ",Yes Or No,,,,
99,WASH,Water supply and access,," Are the users involved in the management and maintenance of water sources and latrines? If not, are there other people/organizations?",Yes Or No,,,,
100,WASH,Water supply and access,, What opportunities are there to collaborate with the private and/or public sector in water provision? ,Multiselection,a) Public-private partnerships for water infrastructure b) Private sector investment in water treatment c) Government funding for community water projects d) Private sector sponsorship of water supply initiatives e) Public health agencies' involvement in water quality testing f) Collaboration with local water utilities g) No significant opportunities identified,,,
229,WASH,Water supply and access,,What bottlenecks exist that could inform the response analysis and recommendations?,Multiselection,a) Limited funding for water infrastructure b) Insufficient local workforce for water projects c) Community's willingness to adopt new practices d) Availability of technical expertise for water solutions e) Potential for technology-driven water solutions f) Legal and regulatory hurdles for water projects g) Political support for water provision initiatives h) No significant bottlenecks,,,
228,WASH,Water supply and access,,What opportunities exist that could inform the response analysis and recommendations?,Multiselection,a) Limited funding for water infrastructure b) Insufficient local workforce for water projects c) Community's willingness to adopt new practices d) Availability of technical expertise for water solutions e) Potential for technology-driven water solutions f) Legal and regulatory hurdles for water projects g) Political support for water provision initiatives h) No significant opportunities identified,,,
230,WASH,Water supply and access,, What operation and maintenance duties are necessary? ,Multiselection,a) Regular cleaning of water storage tanks b) Routine inspection of water distribution systems c) Repairing damaged water infrastructure d) Monitoring water quality and treatment e) Preventing contamination of water sources f) Educating the community about water conservation g) Training local staff for system maintenance h) No specific operation or maintenance duties identified,,,
231,WASH,Water supply and access,,Who shall be accountable for them?,Text,,,,
101,WASH,Water supply and access,,What capacity is there to fulfill them in the short and long term? ,Multiselection," Strong capacity with adequate resources and expertise,Limited capacity due to resource constraints,High capacity in the short term, but challenges in the long term,Adequate capacity, but requires external support,Capacity varies based on specific factors,Capacity has been improving steadily,Capacity has been declining steadily",,,
102,WASH,Water supply and access,, Is there an existing or potential finance mechanism or system that can recover the operation and maintenance costs?,Yes Or No,,,,
103,WASH,Water supply and access,, How does the host population access water and ensure that its water is safe at the point of use?,Multiselection,a) Drawing water from communal wells b) Using household water filters or purifiers c) Boiling water before consumption d) Purchasing bottled water e) Collecting rainwater for consumption f) Treating water with chlorine or other disinfectants g) No specific practices observed for water safety,,,
104,WASH,Water supply and access,, Is there access to local markets? ,Yes Or No,,,,
105,WASH,Water supply and access,,What key WASH goods and services were accessible in the market before the crisis and are accessible during the crisis?,Multiselection,a) Soap and hygiene products b) Water storage containers c) Water purification tablets d) Sanitary pads and menstrual products e) Hygiene promotion materials f) Portable toilets and sanitation facilities g) Water treatment equipment h) No significant WASH goods or services available,,,
106,WASH,Water supply and access,," Who are the local partners in the geographical area, such as civil society groups that have similar capacity in WASH and community engagement?",Text,,,,
107,WASH,Sanitation Excreta disposal,,What is the current defecation practice?,Multiselection,a) Open defecation in fields or open areas b) Use of communal or shared latrines c) Use of household pit latrines d) Utilization of public restroom facilities e) No specific defecation practice identified,,,
108,WASH,Sanitation Excreta disposal,,"Are there any existing facilities which operates successfully? If so, are they used? are they sufficient? Can they be extended or adapted? ",Yes Or No,,,,
109,WASH,Sanitation Excreta disposal,,"Are people familiar with the design, construction and use of toilets?",Yes Or No,,,,
110,WASH,Sanitation Excreta disposal,,"Are people prepared to use latrines, defecation fields, trenches etc? (e.g. is it safe for women after dark, and are they safe/user friendly for children) ",Yes Or No,,,,
232,WASH,Sanitation Excreta disposal,,Is there a designated area for public defecation?,Yes or No,,,107,open defication
111,WASH,Sanitation Excreta disposal,,What are current beliefs and practices concerning excreta disposal?,Multiselection,a) Men and women use the same latrine b) Different family members use separate latrines c) Children's excreta is considered harmless d) Children's excreta is treated as hazardous e) Cultural norms influence latrine usage f) No specific beliefs or practices identified,,,
112,WASH,Sanitation Excreta disposal,,"Is there sufficient space for defecation fields, pit latrines etc? ",Yes Or No,,,,
113,WASH,Sanitation Excreta disposal,,What local materials are available for constructing toilets? ,Multiselection,"glazed cast iron, steel,  stainless steel,  porcelain, vitreous",,,
114,WASH,Sanitation Excreta disposal,,Do current excreta disposal arrangements encourage vectors? ,Yes Or No,,,,
115,WASH,Sanitation Excreta disposal,,Do people have access to water and soap for washing hands after defecation? ,Yes Or No,,,,
116,WASH,Sanitation Excreta disposal,, Are there materials or water available for anal cleansing? ,Yes Or No,,,,
117,WASH,Sanitation Excreta disposal,,"Are the facilities safe and dignified: lighted, equipped with locks, privacy screens? ",Yes Or No,,,109,Yes
118,WASH,Sanitation Excreta disposal,,"Can people access the toilet facilities during the day and night? If not at night, what are the alternatives?",Yes Or No,,,109,Yes
119,WASH,Sanitation Excreta disposal,,Are the latrines or toilets cleaned and maintained so that they are hygienic and safe for all users?,Yes Or No,,,109,Yes
